,bank_no,rack_no,serial_dt,current,voltage,avg_temp,dtime
161,1,12,1639178700,18.5,952,57,2021-12-10 23:25
162,1,13,1639178700,17.8,951,58,2021-12-10 23:25
163,1,14,1639178700,18.2,951,59,2021-12-10 23:25
164,1,15,1639178700,17.9,952,60,2021-12-10 23:25
165,1,16,1639178700,18.4,952,61,2021-12-10 23:25
166,1,17,1639178700,18.4,952,62,2021-12-10 23:25
167,1,18,1639178700,17.6,951,63,2021-12-10 23:25
168,1,19,1639178700,17.8,951,64,2021-12-10 23:25
169,1,20,1639178700,18.4,952,65,2021-12-10 23:25
170,1,21,1639178700,18.4,951,66,2021-12-10 23:25
171,1,22,1639178700,18,952,67,2021-12-10 23:25
172,1,23,1639178700,18.8,952,68,2021-12-10 23:25
173,1,24,1639178700,17.9,951,69,2021-12-10 23:25
174,1,25,1639178700,17.9,952,70,2021-12-10 23:25
175,1,26,1639178700,17.9,951,71,2021-12-10 23:25
176,1,27,1639178700,18.5,952,72,2021-12-10 23:25
177,1,28,1639178700,18.3,951,73,2021-12-10 23:25
178,1,1,1639179000,18.2,954,74,2021-12-10 23:30
179,1,2,1639179000,18.5,954,75,2021-12-10 23:30
180,1,3,1639179000,18.1,955,76,2021-12-10 23:30
181,1,4,1639179000,17.3,955,77,2021-12-10 23:30
182,1,5,1639179000,18.3,955,78,2021-12-10 23:30
183,1,6,1639179000,18.2,955,79,2021-12-10 23:30
184,1,7,1639179000,18.1,954,80,2021-12-10 23:30
185,1,8,1639179000,18.2,954,81,2021-12-10 23:30
186,1,9,1639179000,18.2,954,82,2021-12-10 23:30
187,1,10,1639179000,18.3,954,83,2021-12-10 23:30
188,1,11,1639179000,18,954,84,2021-12-10 23:30
189,1,12,1639179000,18.4,955,85,2021-12-10 23:30
190,1,13,1639179000,17.9,954,86,2021-12-10 23:30
191,1,14,1639179000,18.1,954,87,2021-12-10 23:30
192,1,15,1639179000,17.9,954,88,2021-12-10 23:30
193,1,16,1639179000,18.3,955,89,2021-12-10 23:30
194,1,17,1639179000,18.3,955,90,2021-12-10 23:30
195,1,18,1639179000,17.7,954,91,2021-12-10 23:30
196,1,19,1639179000,17.8,954,92,2021-12-10 23:30
197,1,20,1639179000,18.3,955,93,2021-12-10 23:30
198,1,21,1639179000,18.2,954,94,2021-12-10 23:30
199,1,22,1639179000,17.9,955,95,2021-12-10 23:30
200,1,23,1639179000,18.6,955,96,2021-12-10 23:30
201,1,24,1639179000,18,954,97,2021-12-10 23:30
202,1,25,1639179000,17.9,955,98,2021-12-10 23:30
203,1,26,1639179000,18,954,99,2021-12-10 23:30
204,1,27,1639179000,18.3,954,100,2021-12-10 23:30
205,1,28,1639179000,18.3,954,101,2021-12-10 23:30
206,1,1,1639179300,18.1,957,102,2021-12-10 23:35
207,1,2,1639179300,18.4,957,103,2021-12-10 23:35
208,1,3,1639179300,18.1,957,104,2021-12-10 23:35
209,1,4,1639179300,17.4,959,78.62318841,2021-12-10 23:35
210,1,5,1639179300,18.2,958,78.87317107,2021-12-10 23:35
211,1,6,1639179300,18.1,958,79.12315373,2021-12-10 23:35
212,1,7,1639179300,18.1,957,79.3731364,2021-12-10 23:35
213,1,8,1639179300,18.1,957,79.62311906,2021-12-10 23:35
214,1,9,1639179300,18.1,957,79.87310173,2021-12-10 23:35
215,1,10,1639179300,18.3,958,80.12308439,2021-12-10 23:35
216,1,11,1639179300,17.9,957,80.37306705,2021-12-10 23:35
217,1,12,1639179300,18.2,958,80.62304972,2021-12-10 23:35
218,1,13,1639179300,17.9,957,80.87303238,2021-12-10 23:35
